0,1,2,3,4,5,6,7,8,9,10
0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
0.01,0.017883955265197652,0.016799911416232976,0.14284464621858048,0.33580445133429304,0.10638135311704132,0.1431402945410254,0.1447170855940649,0.03522865684863249,0.037199645664931905,0.01
0.01,0.05907615341856587,0.035329627570872706,0.12052028904947193,0.046213451917732074,0.05689938854919399,0.15000555864369092,0.117650917176209,0.015738743746525848,0.36293274041133966,0.025633129516398
0.01,0.13101446026230243,0.05409595336845645,0.08492321488622351,0.11106154018607779,0.1531622015469118,0.2568176213428988,0.05170160295930949,0.041226319919291564,0.039131263311287974,0.06686582221724023
0.01,0.14016200621393696,0.16633266755437193,0.21195849977807366,0.08910452729693741,0.04051597869507323,0.055033288948069234,0.17038171327119395,0.01,0.05927984909010208,0.047231469152241454
0.01643349644128114,0.05820173487544484,0.3301901690391459,0.11432161921708184,0.08255004448398576,0.09591192170818504,0.13441392348754447,0.048007117437722416,0.01,0.0895774021352313,0.020392571174377223
0.015995712973359204,0.06394324793304082,0.16690599163009112,0.10264284985199568,0.06637787077676849,0.16060140859446792,0.16730570582831505,0.056330509339593854,0.01,0.16132816168214792,0.028568541390221525
0.014613469387755106,0.07998306122448984,0.08445122448979597,0.11794428571428578,0.10684653061224497,0.06588836734693881,0.1457885714285715,0.05034061224489797,0.01,0.29721571428571436,0.02692816326530613
0.015488778615042165,0.13475157752864042,0.11221487063244084,0.1632859564214093,0.13902264698074274,0.08866037697318702,0.04500459474361326,0.06070759051644914,0.01,0.21003144846739752,0.02083215912107659
0.021559857860556295,0.2397067352857083,0.08537536249642608,0.05631213495078216,0.15060858554915646,0.04589735734999795,0.05314953232855449,0.0352826451006821,0.01,0.2616813707470489,0.04042641833108687
0.02322987707763305,0.1832968513905341,0.06230162943602738,0.16746824845836594,0.17586413198840234,0.0714244292890106,0.04547351655980733,0.0505801037285091,0.01,0.19211071180626493,0.018250500265446987
